timestamp,air_quality_value,temperature_C,humidity_pct,pollution_category,alert_status
2026-06-10 09:40:15.443140,100,27.9,44.2,Moderate,0
2026-06-10 09:40:25.443140,50,21.6,31.2,Good,0
2026-06-10 09:40:35.443140,50,28.2,58.4,Good,0
2026-06-10 09:40:45.443140,200,24.4,43.6,Unhealthy,1
2026-06-10 09:40:55.443140,50,25.6,67.8,Good,0
2026-06-10 09:41:05.443140,100,29.4,32.0,Moderate,0
2026-06-10 09:41:15.443140,50,24.4,58.1,Good,0
2026-06-10 09:41:25.443140,200,26.6,68.2,Unhealthy,1
2026-06-10 09:41:35.443140,100,22.8,53.9,Moderate,0
2026-06-10 09:41:45.443140,100,20.1,65.5,Moderate,0
2026-06-10 09:41:55.443140,150,28.9,48.4,Poor,1
2026-06-10 09:42:05.443140,200,21.0,38.4,Unhealthy,1
2026-06-10 09:42:15.443140,200,20.9,52.0,Unhealthy,1
2026-06-10 09:42:25.443140,100,25.1,47.8,Moderate,0
2026-06-10 09:42:35.443140,200,21.4,33.7,Unhealthy,1
2026-06-10 09:42:45.443140,200,29.3,66.5,Unhealthy,1
2026-06-10 09:42:55.443140,50,22.6,53.7,Good,0
2026-06-10 09:43:05.443140,200,31.8,62.0,Unhealthy,1
2026-06-10 09:43:15.443140,150,27.2,60.9,Poor,1
2026-06-10 09:43:25.443140,150,23.1,62.5,Poor,1
2026-06-10 09:43:35.443140,150,18.6,32.1,Poor,1
2026-06-10 09:43:45.443140,200,24.1,69.8,Unhealthy,1
2026-06-10 09:43:55.443140,100,30.9,56.6,Moderate,0
2026-06-10 09:44:05.443140,200,28.6,40.3,Unhealthy,1
2026-06-10 09:44:15.443140,200,19.9,38.0,Unhealthy,1
2026-06-10 09:44:25.443140,150,26.4,43.3,Poor,1
2026-06-10 09:44:35.443140,100,29.3,63.7,Moderate,0
2026-06-10 09:44:45.443140,200,24.9,48.4,Unhealthy,1
2026-06-10 09:44:55.443140,150,23.1,58.9,Poor,1
2026-06-10 09:45:05.443140,150,22.2,57.7,Poor,1
2026-06-10 10:11:08.583271,300,31.4,44.2,Hazardous,1
2026-06-10 10:11:09.084349,300,33.8,46.2,Hazardous,1
2026-06-10 10:11:09.585326,200,24.8,36.8,Unhealthy,1
2026-06-10 10:11:10.086335,200,23.0,31.9,Unhealthy,1
2026-06-10 10:11:10.587804,200,24.2,26.0,Unhealthy,1
2026-06-10 10:11:11.088798,300,32.7,33.2,Hazardous,1
2026-06-10 10:11:11.589910,300,26.1,41.6,Hazardous,1
2026-06-10 10:11:12.090757,300,33.4,46.5,Hazardous,1
2026-06-10 10:11:12.592329,300,25.1,33.0,Hazardous,1
2026-06-10 10:11:13.093789,200,24.1,25.9,Unhealthy,1
2026-06-10 10:11:13.595273,300,23.6,33.4,Hazardous,1
2026-06-10 10:11:14.096523,200,22.8,30.1,Unhealthy,1
2026-06-10 10:11:14.597969,300,23.1,34.0,Hazardous,1
2026-06-10 10:11:15.099247,300,31.6,34.0,Hazardous,1
2026-06-10 10:11:15.600212,300,24.7,45.1,Hazardous,1
2026-06-10 10:11:16.101274,300,25.1,25.9,Hazardous,1
2026-06-10 10:11:16.602428,200,31.9,41.6,Unhealthy,1
2026-06-10 10:11:17.103678,300,22.3,31.1,Hazardous,1
2026-06-10 10:11:17.605062,200,31.4,23.6,Unhealthy,1
2026-06-10 10:11:18.106533,300,28.9,26.3,Hazardous,1
2026-06-10 10:11:18.607414,200,24.2,24.1,Unhealthy,1
2026-06-10 10:11:19.108399,200,31.9,30.1,Unhealthy,1
2026-06-10 10:11:19.609947,300,29.8,24.8,Hazardous,1
2026-06-10 10:11:20.111538,300,33.8,34.9,Hazardous,1
2026-06-10 10:11:20.612894,300,30.2,49.4,Hazardous,1
2026-06-10 10:11:21.114102,200,25.4,47.8,Unhealthy,1
2026-06-10 10:11:21.615278,200,30.4,22.7,Unhealthy,1
2026-06-10 10:11:22.116857,300,24.6,49.0,Hazardous,1
2026-06-10 10:11:22.617832,200,24.0,24.2,Unhealthy,1
2026-06-10 10:11:23.119231,300,31.5,30.0,Hazardous,1
2026-06-10 10:11:23.620476,300,33.6,46.7,Hazardous,1
2026-06-10 10:11:24.121374,300,33.2,28.6,Hazardous,1
2026-06-10 10:11:24.622523,300,28.1,29.3,Hazardous,1
2026-06-10 10:11:25.123670,300,28.9,41.8,Hazardous,1
2026-06-10 10:11:25.625144,300,26.2,29.0,Hazardous,1
2026-06-10 10:11:26.126364,200,27.1,39.9,Unhealthy,1
2026-06-10 10:11:26.627432,200,33.1,29.3,Unhealthy,1
2026-06-10 10:11:27.129103,200,32.3,33.3,Unhealthy,1
2026-06-10 10:11:27.630554,300,34.9,47.5,Hazardous,1
2026-06-10 10:11:28.131869,200,29.2,24.7,Unhealthy,1
